
# date, completed requirements, total requirements
2021-04-17 36 90 0 0
2021-08-15 44 90 0 0
2021-09-24 56 89 0 0
2021-10-12 60 89 0 0
2021-10-15 61 89 0 0
2021-11-08 69 87 0 0
2021-12-26 72 87 0 0
2022-01-01 72 87 20 107
2022-03-02 73 87 34 136
2022-05-30 73 87 35 136
2022-05-30 73 87 37 136
2022-05-30 73 87 37 148
2022-06-20 73 87 42 152
2022-06-20 73 87 44 150
2022-06-20 73 87 44 152
2022-06-20 75 87 44 150
2022-06-22 75 87 44 150
2022-06-22 75 87 45 150
2022-06-22 75 87 45 151
2022-06-23 75 87 45 151
2022-06-24 78 78 47 160
2022-06-24 78 87 47 151
2022-06-27 78 78 47 159
2022-06-27 78 78 47 160
2022-06-27 78 78 48 159
2022-07-15 78 78 48 161
2022-07-15 78 78 48 162
2022-08-19 78 78 48 163
2022-09-15 78 78 52 167
2022-09-15 78 78 53 167
2022-09-15 78 78 55 169
2022-09-30 78 78 57 171
2022-09-30 78 78 58 172
2022-10-02 78 78 61 175
2022-10-02 78 78 63 176
2022-10-02 78 78 64 176
2022-10-02 78 78 66 177
2022-10-03 78 78 63 177
2022-10-03 78 78 65 177
2022-10-03 78 78 66 177
2022-10-04 78 78 66 177
2022-10-30 78 78 69 178
2022-12-08 78 78 70 179
2022-12-08 78 78 74 183
2023-01-30 78 78 75 184
2023-02-01 78 78 75 184
2023-02-01 78 78 77 186
2023-02-05 78 78 77 186
2023-02-07 78 78 77 186
2023-03-06 78 78 78 187
2023-03-26 78 78 85 194
2023-03-26 78 78 86 194
2023-03-26 78 78 86 195
2023-03-26 78 78 88 197
2023-03-27 78 78 89 197
2023-04-20 78 78 89 197
2023-04-20 78 78 90 197
2023-04-21 78 78 91 197
2023-04-21 78 78 93 200
2023-05-08 78 78 96 203
2023-05-08 78 78 97 204
2023-05-09 78 78 100 203
2023-05-20 78 78 101 203
2023-05-20 78 78 101 204
2023-06-26 78 78 103 205
2023-06-26 78 78 104 206
2023-06-26 78 78 106 207
2023-06-26 78 78 107 208
2023-06-26 78 78 108 209
2023-06-26 78 78 111 212
2023-07-01 78 78 118 217
2023-07-05 78 78 120 219
2023-08-09 78 78 120 220
2023-08-09 78 78 120 223
2023-10-03 78 78 130 231
2023-10-15 78 78 131 232
2023-10-20 78 78 133 232
2023-11-28 78 78 134 233
2023-12-09 78 78 135 233
2023-12-21 78 78 141 238
2023-12-26 81 81 150 249
2024-02-01 80 80 159 258
2024-02-05 80 80 160 263
2024-05-04 80 80 202 294
2024-07-14 80 80 213 300
2024-12-04 80 80 222 309
2024-12-04 80 80 253 333
2024-12-04 80 80 258 335
2024-12-05 80 80 260 336
